# GA run_dir=experiments/ga_shelter/20260311-152153_0035b64b
#S2 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=45 nevals=38 stats={'avg': np.float64(233.52857142857144), 'std': np.float64(18.711891886155808), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=46 nevals=44 stats={'avg': np.float64(233.02857142857144), 'std': np.float64(17.346857622859396), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=47 nevals=43 stats={'avg': np.float64(237.85714285714286), 'std': np.float64(22.920537088126082), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=48 nevals=46 stats={'avg': np.float64(232.60714285714286), 'std': np.float64(16.087460257946887), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=49 nevals=34 stats={'avg': np.float64(235.75714285714287), 'std': np.float64(21.534978665474664), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=50 nevals=38 stats={'avg': np.float64(234.72857142857143), 'std': np.float64(20.51335553004532), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=51 nevals=39 stats={'avg': np.float64(231.62142857142857), 'std': np.float64(14.968165197770738), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=52 nevals=51 stats={'avg': np.float64(236.79285714285714), 'std': np.float64(22.72985652288682), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=53 nevals=49 stats={'avg': np.float64(235.15), 'std': np.float64(20.268087160431723), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=54 nevals=43 stats={'avg': np.float64(234.3), 'std': np.float64(20.144726357039453), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
