# GA run_dir=experiments/ga_shelter/20260311-112311_85911e49
#S3 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=44 nevals=40 stats={'avg': np.float64(222.05714285714285), 'std': np.float64(27.997900795945256), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=45 nevals=42 stats={'avg': np.float64(220.28571428571428), 'std': np.float64(24.686111107921654), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=46 nevals=52 stats={'avg': np.float64(219.54285714285714), 'std': np.float64(24.634868270276527), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=47 nevals=36 stats={'avg': np.float64(215.9), 'std': np.float64(17.82786743115556), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=48 nevals=45 stats={'avg': np.float64(218.4), 'std': np.float64(21.2961431786536), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=49 nevals=32 stats={'avg': np.float64(214.5857142857143), 'std': np.float64(14.660435441928007), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=50 nevals=49 stats={'avg': np.float64(222.54285714285714), 'std': np.float64(27.111771673302837), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=51 nevals=33 stats={'avg': np.float64(219.00714285714287), 'std': np.float64(22.66628913751226), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=52 nevals=44 stats={'avg': np.float64(221.61428571428573), 'std': np.float64(26.614331722987608), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=53 nevals=47 stats={'avg': np.float64(219.04285714285714), 'std': np.float64(22.489639337948937), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
