# GA run_dir=experiments/ga_shelter/20260311-103058_e3b8941a
#S1 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=43 nevals=47 stats={'avg': np.float64(243.0), 'std': np.float64(11.227517216960429), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=44 nevals=51 stats={'avg': np.float64(242.7), 'std': np.float64(10.116958888067952), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=45 nevals=44 stats={'avg': np.float64(243.61428571428573), 'std': np.float64(11.871084746611174), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 25, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=46 nevals=42 stats={'avg': np.float64(241.81428571428572), 'std': np.float64(8.742822128781429), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=47 nevals=45 stats={'avg': np.float64(244.0142857142857), 'std': np.float64(13.368932917287706), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 25, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=48 nevals=42 stats={'avg': np.float64(242.94285714285715), 'std': np.float64(8.804034325703372), 'min': np.float64(240.0), 'max': np.float64(278.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=49 nevals=51 stats={'avg': np.float64(241.04285714285714), 'std': np.float64(4.079340683022597), 'min': np.float64(240.0), 'max': np.float64(264.0)} top3=[([38, 25, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=50 nevals=37 stats={'avg': np.float64(241.5142857142857), 'std': np.float64(8.008464909336974), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=51 nevals=48 stats={'avg': np.float64(241.62857142857143), 'std': np.float64(7.874318888588629), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=52 nevals=37 stats={'avg': np.float64(243.17142857142858), 'std': np.float64(9.622846963007849), 'min': np.float64(240.0), 'max': np.float64(286.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 25, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
